Image Number,Category,Annotator,Expertise Level,Host,Version,NGT,NO,Annotation TP (objects),Annotation FP (objects),Annotation FN (objects),Annotation TN (objects),Segmentation TP (pixels),Segmentation FP (pixels),Segmentation TN (pixels),Segmentation FN (pixels),Segmentation Jaccard,Segmentation Precision,Segmentation Recall,Segmentation F1-Score,Segmentation Accuracy,Objects IoU,Image IoU,Mean - Annotation Time per Annotation (seconds)
N09,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,13.0,8.0,8.0,0.0,5.0,0.0,44039.0,6391.0,4117635.0,26239.0,0.5744,0.87327,0.62664,0.72968,0.99222,0.75095,0.5744,23.75
N12,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,8.0,7.0,6.0,1.0,2.0,0.0,31005.0,6196.0,4147082.0,10021.0,0.65658,0.83345,0.75574,0.79269,0.99613,0.8074,0.65658,9.28571
N03,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,1.0,1.0,1.0,0.0,0.0,0.0,16326.0,64.0,4174411.0,3503.0,0.82069,0.9961,0.82334,0.90152,0.99915,0.82069,0.82069,20.0
N11,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,11.0,10.0,7.0,3.0,4.0,0.0,28033.0,10762.0,4136840.0,18669.0,0.48784,0.72259,0.60025,0.65577,0.99298,0.70353,0.48784,14.0
N17,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,29.0,10.0,15.0,0.0,15.0,0.0,117130.0,44658.0,3945898.0,86618.0,0.47153,0.72397,0.57488,0.64087,0.9687,0.65891,0.47153,14.5
N19,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,49.0,15.0,26.0,1.0,23.0,0.0,153880.0,72309.0,3873952.0,94163.0,0.48035,0.68032,0.62038,0.64897,0.96031,0.62946,0.48035,10.66667
N07,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,2.0,2.0,2.0,0.0,0.0,0.0,37328.0,5431.0,4149722.0,1823.0,0.83729,0.87299,0.95344,0.91144,0.99827,0.83729,0.83729,14.0
N13,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,2.0,2.0,1.0,1.0,1.0,0.0,2368.0,2244.0,4188747.0,945.0,0.42613,0.51344,0.71476,0.5976,0.99924,0.73885,0.42613,13.5
N08,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,11.0,9.0,9.0,0.0,2.0,0.0,40059.0,7034.0,4125175.0,22036.0,0.57948,0.85064,0.64512,0.73376,0.99307,0.70722,0.57948,9.11111
N18,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,33.0,24.0,28.0,0.0,7.0,0.0,206972.0,103701.0,3834519.0,49112.0,0.57527,0.66621,0.80822,0.73037,0.96357,0.60731,0.57527,5.875
N14,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,6.0,6.0,5.0,1.0,1.0,0.0,21674.0,4918.0,4159772.0,7940.0,0.62765,0.81506,0.73188,0.77123,0.99693,0.70638,0.62765,5.83333
N10,SAM,Annotator3,Expert,thumper epfl server,QuPath v4,12.0,11.0,8.0,3.0,4.0,0.0,36452.0,15928.0,4122600.0,19324.0,0.50837,0.69591,0.65354,0.67406,0.9916,0.77025,0.50837,5.81818
